Reaction_Name	EC_number	kcat_meta_data	MW
CODH_pump	1.2.7.4	12.5	87421
Hydrogenase	1.12.1.2	12.5	205000
R5PK	2.7.6.1	3.3	34218
RiBPK	2.7.4.23	3.3	20730
RiBPiso	5.3.1.29	32.45	35206
RbuCO	4.1.1.39	7.4	50504
PGK	2.7.2.3	3.3	41320
GAPDH	1.2.1.12	12.5	35584
TPI	5.3.1.1	32.45	27017
FBPald	4.1.2.13	7.4	38155
ADPPFK	2.7.1.146	3.3	52337
TALA	2.2.1.2	3.3	34948
Tkt	2.2.1.1	3.3	69773
RibI	5.3.1.6	32.45	15790
RibE	5.1.3.1	32.45	23657
PKT	4.1.2.9	7.4	92618
PTA	2.3.1.8	3.3	77172
Thio	2.3.1.9	3.3	40190
AAR	1.1.1.36	12.5	25834
PHBsyn	2.3.1.304	3.3	44056
